product_id,vendor,product_name,category,source,last_seen
7062811,coles,Blue Frog Granola Pic's Crunchy Peanut Butter,granola,search,2026-04-27
4310848,coles,Blue Frog Probiotic Granola Manuka Honey & Almond,granola,search,2026-04-27
5293507,coles,Blue Frog Probiotic Granola Triple Nut Crunch,granola,search,2026-04-27
3500327,coles,Carman's Almond Vanilla & Cinnamon Granola,granola,search,2026-04-27
8015588,coles,Carman's Crunchy Granola Bar Raspberry & Coconut 5 Pack,granola,search,2026-04-27
4308631,coles,Carman's Granola Low Sugar Raspberry & Coconut,granola,search,2026-04-27
5297417,coles,Carman's Granola Protein Rich Almond & Hazelnut,granola,search,2026-04-27
1132685,coles,Carman's Light & Crispy Granola Honey Nut,granola,search,2026-04-27
1132812,coles,Carman's Light & Crispy Granola Raspberry & Vanilla,granola,search,2026-04-27
7043624,coles,Carman's Low Carb Granola Peanut Butter,granola,search,2026-04-27
9013023,coles,Carman's Low Sugar Cereal Raspberry & Coconut Granola,granola,search,2026-04-27
3500382,coles,Carman's Pink Lady Apple & Blueberry Granola,granola,search,2026-04-27
8957501,coles,Coles Finest Granola Grain Free Honey Almond & Coconut,granola,search,2026-04-27
8953690,coles,Coles Finest Granola Honey Roasted Nut,granola,search,2026-04-27
8956429,coles,Coles Finest Granola Pink Lady Apple & Caramel,granola,search,2026-04-27
9467745,coles,Coles Nature's Kitchen Granola Cookie,granola,search,2026-04-27
3779428,coles,Dorset Granola Berry,granola,search,2026-04-27
3779450,coles,Dorset Granola Simply Nut,granola,search,2026-04-27
8848889,coles,Farmer Jo Gluten Free Granola Caramel Almond Crunch,granola,search,2026-04-27
8848867,coles,Farmer Jo Gluten Free Granola Nutty Chai & Coconut,granola,search,2026-04-27
8849338,coles,Farmer Jo Gluten Free Granola Salted Maple Cashew,granola,search,2026-04-27
4308551,coles,Farmer Jo Gluten Free Keto Granola,granola,search,2026-04-27
3758042,coles,Farmer Jo Gluten Free Paleo Granola,granola,search,2026-04-27
8153082,coles,Farmer Jo Honey Granola,granola,search,2026-04-27
8153050,coles,Farmer Jo Maple Granola,granola,search,2026-04-27
8146451,coles,Farmer Jo Paleo Cacao Granola,granola,search,2026-04-27
8153173,coles,Farmer Jo Paleo Cinnamon Granola,granola,search,2026-04-27
8153038,coles,Farmer Jo Paleo Granola,granola,search,2026-04-27
8962115,coles,Food For Health Gluten Free Granola Caramelised Apple Crumble,granola,search,2026-04-27
8962126,coles,Food For Health Gluten Free Granola Creamy Vanilla & Berries,granola,search,2026-04-27
8962090,coles,Food For Health Gluten Free Granola Honey Roasted Nut,granola,search,2026-04-27
8962137,coles,Food For Health Gluten Free Granola Maple Almond & Vanilla,granola,search,2026-04-27
7083221,coles,Freedom Crafted Blends Blueberry Granola,granola,search,2026-04-27
7083243,coles,Freedom Crafted Blends Maple & Almond Granola,granola,search,2026-04-27
1135311,coles,Heritage Mill Light & Crispy Granola Vanilla Crumble,granola,search,2026-04-27
3281041,coles,Irrewarra All Natural Granola Original,granola,search,2026-04-27
3281063,coles,Irrewarra Fruit Free Granola,granola,search,2026-04-27
3590104,coles,Irrewarra More Nuts And Honey Granola,granola,search,2026-04-27
1750254,coles,Jordans Crunchy Oat Granola With Berries Cereal,granola,search,2026-04-27
3215105,coles,Jordans Low Sugar Granola Almond And Hazelnut,granola,search,2026-04-27
3779381,coles,Jordans Low Sugar Granola Blueberry & Coconut,granola,search,2026-04-27
2499255,coles,Jordans Simply Crunchy Oat Granola,granola,search,2026-04-27
1156606,coles,Kellogg's High Protein Granola Apple Crumble,granola,search,2026-04-27
1156592,coles,Kellogg's High Protein Granola Forest Berries,granola,search,2026-04-27
1156617,coles,Kellogg's High Protein Granola Honey Nut,granola,search,2026-04-27
2372797,coles,Kleenex 3 Ply Large N Thick Aloe Vera Facial Tissues,granola,specific,2026-04-27
1700890,coles,Mayver's High Protein + Granola Apple & Cinnamon,granola,search,2026-04-27
1784937,coles,Mayver's High Protein + Granola Caramelised Honey Oat,granola,search,2026-04-27
1700868,coles,Mayver's High Protein+ Granola Mixed Berries,granola,search,2026-04-27
1546098,coles,Nature Valley Crunchy Granola Bars Roasted Almond,granola,search,2026-04-27
8386273,coles,Paleo Pure Grain Free Granola Berries And Cinnamon,granola,search,2026-04-27
8386295,coles,Paleo Pure Grain Free Granola Fruit Free,granola,search,2026-04-27
8386284,coles,Paleo Pure Grain Free Granola Low Fructose,granola,search,2026-04-27
8386309,coles,Paleo Pure Grain Free Granola Raw Fruit Free,granola,search,2026-04-27
8386310,coles,Paleo Pure Grain Free Granola Sugar Free,granola,search,2026-04-27
9026160,coles,Red Tractor Farmers Market Golden Harvest Crunch Granola,granola,search,2026-04-27
